SP,3550308,SAO PAULO,35000760,AFRANIO PEIXOTO
SP,3550308,SAO PAULO,35000772,VISCONDE DE INHAUMA ALMIRANTE
SP,3550308,SAO PAULO,35000784,ANESIA SINCORA PROFA
SP,3550308,SAO PAULO,35000796,HEROIS DA FEB
SP,3550308,SAO PAULO,35000802,IMPERATRIZ LEOPOLDINA
SP,3550308,SAO PAULO,35000814,RAQUEL ASSIS BARREIROS PROFA
SP,3550308,SAO PAULO,35000838,JOAO VIEIRA DE ALMEIDA
SP,3550308,SAO PAULO,35000848,JOAQUIM LEME DO PRADO PROF
SP,3550308,SAO PAULO,35000851,JULIO MAIA
SP,3550308,SAO PAULO,35000863,JOSE MARCELINO DA FONSECA MAJOR
SP,3550308,SAO PAULO,35000875,CASTRO ALVES
SP,3550308,SAO PAULO,35000899,PEDRO COSTA DEPUTADO
SP,3550308,SAO PAULO,35000905,CARLOS DE LAET PROF
SP,3550308,SAO PAULO,35000917,ANTONIO LISBOA PROF
SP,3550308,SAO PAULO,35000929,ANTONIO VIEIRA PADRE
SP,3550308,SAO PAULO,35000930,HOMEM DE MELLO BARAO
SP,3550308,SAO PAULO,35000942,BUENOS AIRES
SP,3550308,SAO PAULO,35000954,HORACIO AUGUSTO DA SILVEIRA PROF ETE
SP,3550308,SAO PAULO,35000966,GONCALVES DIAS
SP,3550308,SAO PAULO,35000978,CASIMIRO DE ABREU
SP,3550308,SAO PAULO,35000985,REPUBLICA DA BOLIVIA
SP,3550308,SAO PAULO,35001004,EURICO FIGUEIREDO PROF
SP,3550308,SAO PAULO,35001016,ALBERTO CARDOSO DE MELLO NETO DR
SP,3550308,SAO PAULO,35001028,VICTOR DOS SANTOS CUNHA PROF
SP,3550308,SAO PAULO,35001036,SEBASTIAO DE SOUZA BUENO PROF
SP,3550308,SAO PAULO,35001041,JOHANN GUTENBERG
SP,3550308,SAO PAULO,35001053,LUIZ AMARAL WAGNER PROF
SP,3550308,SAO PAULO,35001065,DAVID EUGENIO DOS SANTOS PROF
SP,3550308,SAO PAULO,35001077,JUDITH GUIMARAES DOS SANTOS PROFA
SP,3550308,SAO PAULO,35001089,GABRIELA MISTRAL
SP,3550308,SAO PAULO,35001090,JOSE MARIA REYS PROF
SP,3550308,SAO PAULO,35001119,EURIPEDES DE CASTRO
SP,3550308,SAO PAULO,35001120,EXPEDICIONARIO BRASILEIRO
SP,3550308,SAO PAULO,35001132,PEDRO ALEXANDRINO
SP,3550308,SAO PAULO,35001144,JULIO PESTANA
SP,3550308,SAO PAULO,35001156,SILVA JARDIM
SP,3550308,SAO PAULO,35001168,ALFREDO INACIO TRINDADE
SP,3550308,SAO PAULO,35001173,ALBINO CESAR
SP,3550308,SAO PAULO,35001181,RAFAEL DE MORAES LIMA PROF
SP,3550308,SAO PAULO,35001193,PHILOMENA BAYLAO PROFA
SP,3550308,SAO PAULO,35001200,LAEL DE MOURA PRADO PROF
SP,3550308,SAO PAULO,35001211,MIGUEL VIEIRA FERREIRA DR
SP,3550308,SAO PAULO,35001223,MARIA PAULA MARCONDES DOMINGUES PROFA
SP,3550308,SAO PAULO,35001235,CYRENE DE OLIVEIRA LAET DONA
SP,3550308,SAO PAULO,35001247,RUY BARBOSA CONSELHEIRO
SP,3550308,SAO PAULO,35001259,JOAO LIGABUE CONEGO
SP,3550308,SAO PAULO,35001272,ANGELO BORTOLO
SP,3550308,SAO PAULO,35001284,AMENAIDE BRAGA DE QUEIROZ PROFA
SP,3550308,SAO PAULO,35001296,CARMOSINA MONTEIRO VIANNA PROFA
SP,3550308,SAO PAULO,35001302,ARNALDO BARRETO
SP,3550308,SAO PAULO,35001314,CASSIO DA COSTA VIDIGAL
SP,3550308,SAO PAULO,35001326,PEDRO DE MORAES VICTOR DR
SP,3550308,SAO PAULO,35001338,MARIA ANGELITA SAYAGO LAET PROFA
SP,3550308,SAO PAULO,35001348,JOSE DO AMARAL MELLO PROF
SP,3550308,SAO PAULO,35001351,ADEMAR HIROSHI SUDA PROF
SP,3550308,SAO PAULO,35001363,SAO PAULO
SP,3550308,SAO PAULO,35001375,LOUREIRO JUNIOR PROF
SP,3550308,SAO PAULO,35001387,THEODORO DE MORAES PROF
SP,3550308,SAO PAULO,35001399,PAULO MONTE SERRAT PROF
SP,3550308,SAO PAULO,35001405,ROMAO PUIGARI
SP,3550308,SAO PAULO,35001417,ISAI LEIRNER
SP,3550308,SAO PAULO,35001430,ANDRE OHL
SP,3550308,SAO PAULO,35001442,ANDRE XAVIER GALLICHO PROF
SP,3550308,SAO PAULO,35001454,ANTONIO FIRMINO DE PROENCA PROF
SP,3550308,SAO PAULO,35001466,AMADEU AMARAL
SP,3550308,SAO PAULO,35001478,EDUARDO PRADO
SP,3550308,SAO PAULO,35001485,GUERINO RASO
SP,3550308,SAO PAULO,35001491,ANNA TEIXEIRA PRADO ZACHARIAS PROFA
SP,3550308,SAO PAULO,35001508,ANTONIO DE QUEIROZ TELLES DR
SP,3550308,SAO PAULO,35001512,ARMANDO ARAUJO
SP,3550308,SAO PAULO,35001521,PAULO LUIG FREI
SP,3550308,SAO PAULO,35001545,PANDIA CALOGERAS
SP,3550308,SAO PAULO,35001569,OSWALDO CRUZ
SP,3550308,SAO PAULO,35001570,ORESTES GUIMARAES
SP,3550308,SAO PAULO,35001582,DOMINGOS FAUSTINO SARMIENTO
SP,3550308,SAO PAULO,35001594,CARLOS DE CAMPOS ETE
SP,3550308,SAO PAULO,35001600,PLINIO BARRETO
SP,3550308,SAO PAULO,35001624,WOLNY CARVALHO RAMOS PROF
SP,3550308,SAO PAULO,35001636,CAMARGO ARANHA PROF ETE
SP,3550308,SAO PAULO,35001659,ANCHIETA PADRE
SP,3550308,SAO PAULO,35001661,MMDC
SP,3550308,SAO PAULO,35001673,MARIA DA GLORIA COSTA E SILVA PROFA
SP,3550308,SAO PAULO,35001685,MARIO CASASSANTA PROF
SP,3550308,SAO PAULO,35001697,BEATRIZ R BASSI ASTORINO PROFA
SP,3550308,SAO PAULO,35001703,MARIO MARQUES DE OLIVEIRA PROF
SP,3550308,SAO PAULO,35001727,VICTOR MIGUEL ROMANO PROF
SP,3550308,SAO PAULO,35001739,ANDRE DREYFUS PROF
SP,3550308,SAO PAULO,35001740,STEFAN ZWEIG
SP,3550308,SAO PAULO,35001752,AROLDO DE AZEVEDO PROF
SP,3550308,SAO PAULO,35001764,ANNITA ATALLA PROFA
SP,3550308,SAO PAULO,35001776,SECUNDINO DOMINGUES FILHO DR
SP,3550308,SAO PAULO,35001788,OLGA BENATTI PROFA
SP,3550308,SAO PAULO,35001797,BRISABELLA ALMEIDA NOBRE PROFA
SP,3550308,SAO PAULO,35001806,JOY ARRUDA DR
SP,3550308,SAO PAULO,35001818,JOCELYN PONTES GESTAL PROF
SP,3550308,SAO PAULO,35001824,JOSE HEITOR CARUSI PROF
SP,3550308,SAO PAULO,35001843,FRANCISCO BORGES VIEIRA DR
SP,3550308,SAO PAULO,35001855,AMERICO DE MOURA PROF
SP,3550308,SAO PAULO,35001867,LUIZA MENDES CORREA SOUZA PROFA
SP,3550308,SAO PAULO,35001879,JOAO FIRMINO DE CAMPOS
SP,3550308,SAO PAULO,35001880,JOSE CHEDIAK
SP,3550308,SAO PAULO,35001892,REPUBLICA DO PARAGUAY
SP,3550308,SAO PAULO,35001909,CAROLINA AUGUSTA DA COSTA GALVAO PROFA
SP,3550308,SAO PAULO,35001910,CLEMENTE QUAGLIO PROF
SP,3550308,SAO PAULO,35001922,JULIETA NOGUEIRA RINALDI PROFA
SP,3550308,SAO PAULO,35001934,JOAQUIM BRAGA DE PAULA PROF
SP,3550308,SAO PAULO,35001946,JOSE ROCHA MENDES ETE
SP,3550308,SAO PAULO,35001958,JULIA MACEDO PANTOJA PROFA
SP,3550308,SAO PAULO,35001961,NORBERTO MAYER FILHO DEPUTADO
SP,3550308,SAO PAULO,35001971,MOACYR CAMPOS PROF
SP,3550308,SAO PAULO,35001995,JULIA AMALIA AZEVEDO ANTUNES PROFA
SP,3550308,SAO PAULO,35002008,JOAO DIAS DA SILVEIRA PROF
SP,3550308,SAO PAULO,35002012,JOAO CLIMACO DA SILVA KRUSE PROF
SP,3550308,SAO PAULO,35002021,IRENE RIBEIRO PROFA
SP,3550308,SAO PAULO,35002045,ALVINO BITTENCOURT PROF
SP,3550308,SAO PAULO,35002057,AMELIA DE ARAUJO DONA
SP,3550308,SAO PAULO,35002069,ARACY LEME DA VEIGA RAVACHE PROFA
SP,3550308,SAO PAULO,35002070,BENEDITO ESTEVAM DOS SANTOS DR
SP,3550308,SAO PAULO,35002082,BLANCA ZWICKER SIMOES PROFA
SP,3550308,SAO PAULO,35002094,FREDERICO VERGUEIRO STEIDEL
SP,3550308,SAO PAULO,35002100,ERASMO BRAGA
SP,3550308,SAO PAULO,35002112,CONGONHAS DO CAMPO VISCONDE DE
SP,3550308,SAO PAULO,35002124,CARLOS ESCOBAR
SP,3550308,SAO PAULO,35002136,CARAMURU
SP,3550308,SAO PAULO,35002148,PAULO NOVAES DE CARVALHO PROF
SP,3550308,SAO PAULO,35002159,PEDRO ARBUES CEL
SP,3550308,SAO PAULO,35002161,SALVADOR ROCCO PROF
SP,3550308,SAO PAULO,35002173,JOAO BORGES PROF
SP,3550308,SAO PAULO,35002185,MARTIN LUTHER KING ETE
SP,3550308,SAO PAULO,35002197,IRENE DE LIMA PAIVA PROFA
SP,3550308,SAO PAULO,35002203,JOSE MARQUES DA CRUZ PROF
SP,3550308,SAO PAULO,35002227,BENEDITA RIBAS F SILVEIRA PROFA
SP,3550308,SAO PAULO,35002239,ALMERINDA RODRIGUES MELLO PROFA
SP,3550308,SAO PAULO,35002240,ANTONIO CANDIDO BARONE
SP,3550308,SAO PAULO,35002252,ASCENDINO REIS PROF
SP,3550308,SAO PAULO,35002264,OSWALDO CATALANO
SP,3550308,SAO PAULO,35002276,EMEI JOSE LA TORRE PROF
SP,3550308,SAO PAULO,35002288,PAULO CAVALCANTI ALBUQUERQUE PROF
SP,3550308,SAO PAULO,35002297,ORVILLE DERBY
SP,3550308,SAO PAULO,35002318,SANTOS AMARO DA CRUZ PROF
SP,3550308,SAO PAULO,35002331,PILAR GARCIA VIDAL DONA
SP,3550308,SAO PAULO,35002343,MARIA LOURDES N ALBERGARIA PROFA
SP,3550308,SAO PAULO,35002355,MARISA DE MELLO PROFA
SP,3550308,SAO PAULO,35002367,OLGA MARINOVIC DORO PROFA
SP,3550308,SAO PAULO,35002379,RITA JULIA DE OLIVEIRA PROFA
SP,3550308,SAO PAULO,35002380,SANTOS DUMONT
SP,3550308,SAO PAULO,35002392,JOSE BARTOCCI PROF
SP,3550308,SAO PAULO,35002409,LUIZ ANTONIO FRAGOSO PROF
SP,3550308,SAO PAULO,35002410,THEODOMIRO EMERIQUE PROF
SP,3550308,SAO PAULO,35002422,GABRIEL ORTIZ PROF
SP,3550308,SAO PAULO,35002434,JAMIL PEDRO SAWAYA PROF
SP,3550308,SAO PAULO,35002446,JOSE DE CAMPOS CAMARGO PROF
SP,3550308,SAO PAULO,35002458,BERNARDO RODRIGUES NOGUEIRA DOM
SP,3550308,SAO PAULO,35002461,JOAO MARIA OGNO OSB DOM
SP,3550308,SAO PAULO,35002471,ZALINA ROLIM DONA
SP,3550308,SAO PAULO,35002483,ESTHER FRANKEL SAMPAIO
SP,3550308,SAO PAULO,35002513,NOSSA SENHORA DA PENHA
SP,3550308,SAO PAULO,35002525,ANTAO PADRE
SP,3550308,SAO PAULO,35002537,ADALGISA MOREIRA PIRES PROFA
